"id","has_exterior","name"
35643,true,MP9 | Dart (Factory New)
35648,true,MP9 | Deadly Poison (Factory New)
35653,true,MP9 | Dry Season (Factory New)
35658,true,MP9 | Goo (Factory New)
35663,true,MP9 | Green Plaid (Factory New)
35667,true,MP9 | Hot Rod (Factory New)
35669,true,MP9 | Hypnotic (Factory New)
35672,true,MP9 | Orange Peel (Factory New)
35676,true,MP9 | Pandora's Box (Factory New)
35679,true,MP9 | Rose Iron (Factory New)
35683,true,MP9 | Ruby Poison Dart (Factory New)
35688,true,MP9 | Sand Dashed (Factory New)
35692,true,MP9 | Sand Scale (Factory New)
35696,true,MP9 | Setting Sun (Factory New)
35701,true,MP9 | Storm (Factory New)
35737,true,Negev | Anodized Navy (Factory New)
35739,true,Negev | Army Sheen (Factory New)
35743,true,Negev | Bratatat (Factory New)
35748,true,Negev | CaliCamo (Factory New)
35757,true,Negev | Desert-Strike (Factory New)
35767,true,Negev | Nuclear Waste (Factory New)
35772,true,Negev | Palm (Factory New)
35777,true,Negev | Power Loader (Factory New)
35781,true,Negev | Terrain (Factory New)
35785,true,Nova | Antique (Factory New)
35789,true,Nova | Blaze Orange (Factory New)
35794,true,Nova | Bloomstick (Factory New)
35798,true,Nova | Caged Steel (Factory New)
35801,true,Nova | Candy Apple (Factory New)
35805,true,Nova | Exo (Factory New)
35810,true,Nova | Forest Leaves (Factory New)
35814,true,Nova | Ghost Camo (Factory New)
35818,true,Nova | Gila (Factory New)
35821,true,Nova | Graphite (Factory New)
35823,true,Nova | Green Apple (Factory New)
35827,true,Nova | Hyper Beast (Factory New)
35831,true,Nova | Koi (Factory New)
35835,true,Nova | Modern Hunter (Factory New)
35840,true,Nova | Moon in Libra (Factory New)
35845,true,Nova | Polar Mesh (Factory New)
35850,true,Nova | Predator (Factory New)
35855,true,Nova | Ranger (Factory New)
35860,true,Nova | Rising Skull (Factory New)
35865,true,Nova | Sand Dune (Factory New)
35868,true,Nova | Tempest (Factory New)
35872,true,Nova | Walnut (Factory New)
35898,true,P2000 | Amber Fade (Factory New)
35902,true,P2000 | Chainmail (Factory New)
35906,true,P2000 | Coach Class (Factory New)
35910,true,P2000 | Corticera (Factory New)
35914,true,P2000 | Fire Elemental (Factory New)
35919,true,P2000 | Granite Marbleized (Factory New)
35924,true,P2000 | Grassland (Factory New)
35929,true,P2000 | Grassland Leaves (Factory New)
35934,true,P2000 | Handgun (Factory New)
35938,true,P2000 | Imperial (Factory New)
35942,true,P2000 | Imperial Dragon (Factory New)
35947,true,P2000 | Ivory (Factory New)
35951,true,P2000 | Ocean Foam (Factory New)
35954,true,P2000 | Oceanic (Factory New)
35958,true,P2000 | Pathfinder (Factory New)
35962,true,P2000 | Pulse (Factory New)
35967,true,P2000 | Red FragCam (Factory New)
35971,true,P2000 | Scorpion (Factory New)
35973,true,P2000 | Silver (Factory New)
35976,true,P2000 | Turf (Factory New)
35980,true,P2000 | Woodsman (Factory New)
35989,true,P250 | Bone Mask (Factory New)
35994,true,P250 | Boreal Forest (Factory New)
35998,true,P250 | Cartel (Factory New)
36003,true,P250 | Contamination (Factory New)
36008,true,P250 | Crimson Kimono (Factory New)
36013,true,P250 | Facets (Factory New)
36017,true,P250 | Franklin (Factory New)
36022,true,P250 | Gunsmoke (Factory New)
36026,true,P250 | Hive (Factory New)
36030,true,P250 | Iron Clad (Factory New)
36035,true,P250 | Mehndi (Factory New)
36039,true,P250 | Metallic DDPAT (Factory New)
36042,true,P250 | Mint Kimono (Factory New)
36047,true,P250 | Modern Hunter (Factory New)
36052,true,P250 | Muertos (Factory New)
36057,true,P250 | Nuclear Threat (Factory New)
36062,true,P250 | Red Rock (Factory New)
36067,true,P250 | Ripple (Factory New)
36072,true,P250 | Sand Dune (Factory New)
36077,true,P250 | See Ya Later (Factory New)
36081,true,P250 | Splash (Factory New)
36084,true,P250 | Steel Disruption (Factory New)
36087,true,P250 | Supernova (Factory New)
36091,true,P250 | Undertow (Factory New)
36095,true,P250 | Valence (Factory New)
36100,true,P250 | Whiteout (Factory New)
36105,true,P250 | Wingshot (Factory New)
36109,true,P90 | Ash Wood (Factory New)
36114,true,P90 | Asiimov (Factory New)
36119,true,P90 | Blind Spot (Factory New)
36124,true,P90 | Chopper (Factory New)
36128,true,P90 | Cold Blooded (Factory New)
36131,true,P90 | Death Grip (Factory New)
36138,true,P90 | Desert Warfare (Factory New)
36143,true,P90 | Elite Build (Factory New)
36148,true,P90 | Emerald Dragon (Factory New)
36153,true,P90 | Fallout Warning (Factory New)
36158,true,P90 | Glacier Mesh (Factory New)
36163,true,P90 | Grim (Factory New)
36168,true,P90 | Leather (Factory New)
36172,true,P90 | Module (Factory New)
36176,true,P90 | Sand Spray (Factory New)
36181,true,P90 | Scorched (Factory New)
36186,true,P90 | Shallow Grave (Factory New)
36191,true,P90 | Shapewood (Factory New)
34249,false,Baggage Pin
36196,true,P90 | Storm (Factory New)
36201,true,P90 | Teardown (Factory New)
36210,true,P90 | Virus (Factory New)
36215,true,PP-Bizon | Antique (Factory New)
36220,true,PP-Bizon | Bamboo Print (Factory New)
36225,true,PP-Bizon | Blue Streak (Factory New)
36230,true,PP-Bizon | Brass (Factory New)
36234,true,PP-Bizon | Carbon Fiber (Factory New)
36237,true,PP-Bizon | Chemical Green (Factory New)
36241,true,PP-Bizon | Cobalt Halftone (Factory New)
36246,true,PP-Bizon | Forest Leaves (Factory New)
36251,true,PP-Bizon | Fuel Rod (Factory New)
36256,true,PP-Bizon | Harvester (Factory New)
36261,true,PP-Bizon | High Roller (Factory New)
36266,true,PP-Bizon | Irradiated Alert (Factory New)
36271,true,PP-Bizon | Judgement of Anubis (Factory New)
36276,true,PP-Bizon | Jungle Slipstream (Factory New)
36281,true,PP-Bizon | Modern Hunter (Factory New)
36286,true,PP-Bizon | Night Ops (Factory New)
36291,true,PP-Bizon | Osiris (Factory New)
36296,true,PP-Bizon | Photic Zone (Factory New)
36301,true,PP-Bizon | Rust Coat (Factory New)
36306,true,PP-Bizon | Sand Dashed (Factory New)
36311,true,PP-Bizon | Urban Dashed (Factory New)
36316,true,PP-Bizon | Water Sigil (Factory New)
36326,true,R8 Revolver | Amber Fade (Factory New)
36331,true,R8 Revolver | Bone Mask (Factory New)
36336,true,R8 Revolver | Crimson Web (Factory New)
36340,true,R8 Revolver | Fade (Factory New)
36345,true,R8 Revolver | Llama Cannon (Factory New)
36350,true,R8 Revolver | Reboot (Factory New)
36356,true,SCAR-20 | Army Sheen (Factory New)
36359,true,SCAR-20 | Bloodsport (Factory New)
36364,true,SCAR-20 | Blueprint (Factory New)
36368,true,SCAR-20 | Carbon Fiber (Factory New)
36371,true,SCAR-20 | Cardiac (Factory New)
36376,true,SCAR-20 | Contractor (Factory New)
36381,true,SCAR-20 | Crimson Web (Factory New)
36386,true,SCAR-20 | Cyrex (Factory New)
36390,true,SCAR-20 | Emerald (Factory New)
36393,true,SCAR-20 | Green Marine (Factory New)
36398,true,SCAR-20 | Grotto (Factory New)
36403,true,SCAR-20 | Jungle Slipstream (Factory New)
36408,true,SCAR-20 | Outbreak (Factory New)
36413,true,SCAR-20 | Palm (Factory New)
36418,true,SCAR-20 | Powercore (Factory New)
36423,true,SCAR-20 | Sand Mesh (Factory New)
36428,true,SCAR-20 | Splash Jam (Factory New)
36433,true,SCAR-20 | Storm (Factory New)
36438,true,SG 553 | Aerial (Factory New)
36442,true,SG 553 | Anodized Navy (Factory New)
36444,true,SG 553 | Army Sheen (Factory New)
36448,true,SG 553 | Atlas (Factory New)
36453,true,SG 553 | Bulldozer (Factory New)
36458,true,SG 553 | Cyrex (Factory New)
36463,true,SG 553 | Damascus Steel (Factory New)
36468,true,SG 553 | Fallout Warning (Factory New)
36473,true,SG 553 | Gator Mesh (Factory New)
36478,true,SG 553 | Phantom (Factory New)
36487,true,SG 553 | Tiger Moth (Factory New)
36492,true,SG 553 | Tornado (Factory New)
36497,true,SG 553 | Traveler (Factory New)
36502,true,SG 553 | Triarch (Factory New)
36507,true,SG 553 | Ultraviolet (Factory New)
36512,true,SG 553 | Wave Spray (Factory New)
36517,true,SG 553 | Waves Perforated (Factory New)
36522,true,SSG 08 | Abyss (Factory New)
36526,true,SSG 08 | Acid Fade (Factory New)
36528,true,SSG 08 | Big Iron (Factory New)
36532,true,SSG 08 | Blood in the Water (Factory New)
36536,true,SSG 08 | Blue Spruce (Factory New)
36543,true,SSG 08 | Death's Head (Factory New)
36547,true,SSG 08 | Detour (Factory New)
36552,true,SSG 08 | Dragonfire (Factory New)
36557,true,SSG 08 | Ghost Crusader (Factory New)
36562,true,SSG 08 | Lichen Dashed (Factory New)
36567,true,SSG 08 | Mayan Dreams (Factory New)
36572,true,SSG 08 | Necropos (Factory New)
36577,true,SSG 08 | Sand Dune (Factory New)
36585,true,SSG 08 | Tropical Storm (Factory New)
36589,true,Sawed-Off | Amber Fade (Factory New)
36594,true,Sawed-Off | Bamboo Shadow (Factory New)
36599,true,Sawed-Off | Copper (Factory New)
36604,true,Sawed-Off | First Class (Factory New)
36609,true,Sawed-Off | Forest DDPAT (Factory New)
36616,true,Sawed-Off | Full Stop (Factory New)
36621,true,Sawed-Off | Highwayman (Factory New)
36626,true,Sawed-Off | Irradiated Alert (Factory New)
36631,true,Sawed-Off | Limelight (Factory New)
36636,true,Sawed-Off | Morris (Factory New)
36641,true,Sawed-Off | Mosaico (Factory New)
36646,true,Sawed-Off | Orange DDPAT (Factory New)
36651,true,Sawed-Off | Origami (Factory New)
36656,true,Sawed-Off | Rust Coat (Factory New)
36661,true,Sawed-Off | Sage Spray (Factory New)
36666,true,Sawed-Off | Serenity (Factory New)
36671,true,Sawed-Off | Snake Camo (Factory New)
36675,true,Sawed-Off | The Kraken (Factory New)
36680,true,Sawed-Off | Wasteland Princess (Factory New)
36685,true,Sawed-Off | Yorick (Factory New)
36690,true,Sawed-Off | Zander (Factory New)
37514,true,Souvenir AK-47 | Safari Mesh (Factory New)
37519,true,Souvenir AUG | Colony (Factory New)
37532,true,Souvenir AUG | Radiation Hazard (Factory New)
37537,true,Souvenir AUG | Storm (Factory New)
37551,true,Souvenir CZ75-Auto | Chalice (Factory New)
37558,true,Souvenir Desert Eagle | Hand Cannon (Factory New)
37567,true,Souvenir Desert Eagle | Urban DDPAT (Factory New)
37572,true,Souvenir Desert Eagle | Urban Rubble (Factory New)
37576,true,Souvenir Dual Berettas | Anodized Navy (Factory New)
37578,true,Souvenir Dual Berettas | Briar (Factory New)
37581,true,Souvenir Dual Berettas | Cobalt Quartz (Factory New)
37585,true,Souvenir Dual Berettas | Colony (Factory New)
37590,true,Souvenir Dual Berettas | Contractor (Factory New)
37599,true,Souvenir FAMAS | Colony (Factory New)
37608,true,Souvenir FAMAS | Styx (Factory New)
37612,true,Souvenir FAMAS | Teardown (Factory New)
37616,true,Souvenir Five-SeveN | Contractor (Factory New)
37621,true,Souvenir Five-SeveN | Forest Night (Factory New)
37626,true,Souvenir Five-SeveN | Hot Shot (Factory New)
37631,true,Souvenir Five-SeveN | Orange Peel (Factory New)
37635,true,Souvenir Five-SeveN | Silver Quartz (Factory New)
37639,true,Souvenir G3SG1 | Desert Storm (Factory New)
37644,true,Souvenir G3SG1 | Jungle Dashed (Factory New)
37649,true,Souvenir G3SG1 | Polar Camo (Factory New)
37654,true,Souvenir G3SG1 | Safari Mesh (Factory New)
37659,true,Souvenir G3SG1 | VariCamo (Factory New)
37664,true,Souvenir Galil AR | Cerberus (Factory New)
37669,true,Souvenir Galil AR | Hunting Blind (Factory New)
37674,true,Souvenir Galil AR | Sage Spray (Factory New)
